Ride_id,Date,Season_type,Year,Month,Hour,Holiday,Weekday,Weather,Temperature
1,01-01-2011,Spring,2011,January,0,TRUE,Saturday,"Clear, Partly cloudy",0.24
2,01-01-2011,Spring,2011,January,1,TRUE,Saturday,"Clear, Partly cloudy",0.22
3,01-01-2011,Spring,2011,January,2,TRUE,Saturday,"Clear, Partly cloudy",0.22
4,01-01-2011,Spring,2011,January,3,TRUE,Saturday,"Clear, Partly cloudy",0.24
5,01-01-2011,Spring,2011,January,4,TRUE,Saturday,"Clear, Partly cloudy",0.24
6,01-01-2011,Spring,2011,January,5,TRUE,Saturday,"Misty, Cloudy",0.24
7,01-01-2011,Spring,2011,January,6,TRUE,Saturday,"Clear, Partly cloudy",0.22
8,01-01-2011,Spring,2011,January,7,TRUE,Saturday,"Clear, Partly cloudy",0.2
9,01-01-2011,Spring,2011,January,8,TRUE,Saturday,"Clear, Partly cloudy",0.24
10,01-01-2011,Spring,2011,January,9,TRUE,Saturday,"Clear, Partly cloudy",0.32
11,01-01-2011,Spring,2011,January,10,TRUE,Saturday,"Clear, Partly cloudy",0.38
12,01-01-2011,Spring,2011,January,11,TRUE,Saturday,"Clear, Partly cloudy",0.36
13,01-01-2011,Spring,2011,January,12,TRUE,Saturday,"Clear, Partly cloudy",0.42
14,01-01-2011,Spring,2011,January,13,TRUE,Saturday,"Misty, Cloudy",0.46
15,01-01-2011,Spring,2011,January,14,TRUE,Saturday,"Misty, Cloudy",0.46
16,01-01-2011,Spring,2011,January,15,TRUE,Saturday,"Misty, Cloudy",0.44
17,01-01-2011,Spring,2011,January,16,TRUE,Saturday,"Misty, Cloudy",0.42
18,01-01-2011,Spring,2011,January,17,TRUE,Saturday,"Misty, Cloudy",0.44
19,01-01-2011,Spring,2011,January,18,TRUE,Saturday,"Light Rain,Thunderstorm",0.42
20,01-01-2011,Spring,2011,January,19,TRUE,Saturday,"Light Rain,Thunderstorm",0.42
21,01-01-2011,Spring,2011,January,20,TRUE,Saturday,"Misty, Cloudy",0.4
22,01-01-2011,Spring,2011,January,21,TRUE,Saturday,"Misty, Cloudy",0.4
23,01-01-2011,Spring,2011,January,22,TRUE,Saturday,"Misty, Cloudy",0.4
24,01-01-2011,Spring,2011,January,23,TRUE,Saturday,"Misty, Cloudy",0.46
25,02-01-2011,Spring,2011,January,0,TRUE,Sunday,"Misty, Cloudy",0.46
26,02-01-2011,Spring,2011,January,1,TRUE,Sunday,"Misty, Cloudy",0.44
27,02-01-2011,Spring,2011,January,2,TRUE,Sunday,"Misty, Cloudy",0.42
28,02-01-2011,Spring,2011,January,3,TRUE,Sunday,"Misty, Cloudy",0.46
29,02-01-2011,Spring,2011,January,4,TRUE,Sunday,"Misty, Cloudy",0.46
30,02-01-2011,Spring,2011,January,6,TRUE,Sunday,"Light Rain,Thunderstorm",0.42
31,02-01-2011,Spring,2011,January,7,TRUE,Sunday,"Misty, Cloudy",0.4
32,02-01-2011,Spring,2011,January,8,TRUE,Sunday,"Light Rain,Thunderstorm",0.4
33,02-01-2011,Spring,2011,January,9,TRUE,Sunday,"Misty, Cloudy",0.38
34,02-01-2011,Spring,2011,January,10,TRUE,Sunday,"Misty, Cloudy",0.36
35,02-01-2011,Spring,2011,January,11,TRUE,Sunday,"Misty, Cloudy",0.36
36,02-01-2011,Spring,2011,January,12,TRUE,Sunday,"Misty, Cloudy",0.36
37,02-01-2011,Spring,2011,January,13,TRUE,Sunday,"Misty, Cloudy",0.36
38,02-01-2011,Spring,2011,January,14,TRUE,Sunday,"Light Rain,Thunderstorm",0.36
39,02-01-2011,Spring,2011,January,15,TRUE,Sunday,"Light Rain,Thunderstorm",0.34
40,02-01-2011,Spring,2011,January,16,TRUE,Sunday,"Light Rain,Thunderstorm",0.34
41,02-01-2011,Spring,2011,January,17,TRUE,Sunday,"Clear, Partly cloudy",0.34
42,02-01-2011,Spring,2011,January,18,TRUE,Sunday,"Misty, Cloudy",0.36
43,02-01-2011,Spring,2011,January,19,TRUE,Sunday,"Clear, Partly cloudy",0.32
44,02-01-2011,Spring,2011,January,20,TRUE,Sunday,"Clear, Partly cloudy",0.3
45,02-01-2011,Spring,2011,January,21,TRUE,Sunday,"Clear, Partly cloudy",0.26
46,02-01-2011,Spring,2011,January,22,TRUE,Sunday,"Clear, Partly cloudy",0.24
47,02-01-2011,Spring,2011,January,23,TRUE,Sunday,"Clear, Partly cloudy",0.22
48,03-01-2011,Spring,2011,January,0,FALSE,Monday,"Clear, Partly cloudy",0.22
49,03-01-2011,Spring,2011,January,1,FALSE,Monday,"Clear, Partly cloudy",0.2
50,03-01-2011,Spring,2011,January,4,FALSE,Monday,"Clear, Partly cloudy",0.16
51,03-01-2011,Spring,2011,January,5,FALSE,Monday,"Clear, Partly cloudy",0.16
52,03-01-2011,Spring,2011,January,6,FALSE,Monday,"Clear, Partly cloudy",0.14
53,03-01-2011,Spring,2011,January,7,FALSE,Monday,"Clear, Partly cloudy",0.14
54,03-01-2011,Spring,2011,January,8,FALSE,Monday,"Clear, Partly cloudy",0.14
55,03-01-2011,Spring,2011,January,9,FALSE,Monday,"Clear, Partly cloudy",0.16
56,03-01-2011,Spring,2011,January,10,FALSE,Monday,"Clear, Partly cloudy",0.18
57,03-01-2011,Spring,2011,January,11,FALSE,Monday,"Clear, Partly cloudy",0.2
58,03-01-2011,Spring,2011,January,12,FALSE,Monday,"Clear, Partly cloudy",0.22
59,03-01-2011,Spring,2011,January,13,FALSE,Monday,"Clear, Partly cloudy",0.24
60,03-01-2011,Spring,2011,January,14,FALSE,Monday,"Clear, Partly cloudy",0.26
61,03-01-2011,Spring,2011,January,15,FALSE,Monday,"Clear, Partly cloudy",0.26
62,03-01-2011,Spring,2011,January,16,FALSE,Monday,"Clear, Partly cloudy",0.26
63,03-01-2011,Spring,2011,January,17,FALSE,Monday,"Clear, Partly cloudy",0.24
64,03-01-2011,Spring,2011,January,18,FALSE,Monday,"Clear, Partly cloudy",0.24
65,03-01-2011,Spring,2011,January,19,FALSE,Monday,"Clear, Partly cloudy",0.2
66,03-01-2011,Spring,2011,January,20,FALSE,Monday,"Clear, Partly cloudy",0.2
67,03-01-2011,Spring,2011,January,21,FALSE,Monday,"Clear, Partly cloudy",0.18
68,03-01-2011,Spring,2011,January,22,FALSE,Monday,"Clear, Partly cloudy",0.14
69,03-01-2011,Spring,2011,January,23,FALSE,Monday,"Clear, Partly cloudy",0.18
70,04-01-2011,Spring,2011,January,0,FALSE,Tuesday,"Clear, Partly cloudy",0.16
71,04-01-2011,Spring,2011,January,1,FALSE,Tuesday,"Clear, Partly cloudy",0.16
72,04-01-2011,Spring,2011,January,2,FALSE,Tuesday,"Clear, Partly cloudy",0.14
73,04-01-2011,Spring,2011,January,4,FALSE,Tuesday,"Clear, Partly cloudy",0.14
74,04-01-2011,Spring,2011,January,5,FALSE,Tuesday,"Clear, Partly cloudy",0.12
75,04-01-2011,Spring,2011,January,6,FALSE,Tuesday,"Clear, Partly cloudy",0.12
76,04-01-2011,Spring,2011,January,7,FALSE,Tuesday,"Clear, Partly cloudy",0.12
77,04-01-2011,Spring,2011,January,8,FALSE,Tuesday,"Clear, Partly cloudy",0.14
78,04-01-2011,Spring,2011,January,9,FALSE,Tuesday,"Clear, Partly cloudy",0.16
79,04-01-2011,Spring,2011,January,10,FALSE,Tuesday,"Misty, Cloudy",0.16
80,04-01-2011,Spring,2011,January,11,FALSE,Tuesday,"Clear, Partly cloudy",0.22
81,04-01-2011,Spring,2011,January,12,FALSE,Tuesday,"Clear, Partly cloudy",0.22
82,04-01-2011,Spring,2011,January,13,FALSE,Tuesday,"Clear, Partly cloudy",0.24
83,04-01-2011,Spring,2011,January,14,FALSE,Tuesday,"Clear, Partly cloudy",0.26
84,04-01-2011,Spring,2011,January,15,FALSE,Tuesday,"Clear, Partly cloudy",0.28
85,04-01-2011,Spring,2011,January,16,FALSE,Tuesday,"Clear, Partly cloudy",0.3
86,04-01-2011,Spring,2011,January,17,FALSE,Tuesday,"Clear, Partly cloudy",0.28
87,04-01-2011,Spring,2011,January,18,FALSE,Tuesday,"Clear, Partly cloudy",0.26
88,04-01-2011,Spring,2011,January,19,FALSE,Tuesday,"Clear, Partly cloudy",0.24
89,04-01-2011,Spring,2011,January,20,FALSE,Tuesday,"Clear, Partly cloudy",0.24
90,04-01-2011,Spring,2011,January,21,FALSE,Tuesday,"Clear, Partly cloudy",0.22
91,04-01-2011,Spring,2011,January,22,FALSE,Tuesday,"Clear, Partly cloudy",0.22
92,04-01-2011,Spring,2011,January,23,FALSE,Tuesday,"Clear, Partly cloudy",0.2
93,05-01-2011,Spring,2011,January,0,FALSE,Wednesday,"Clear, Partly cloudy",0.2
94,05-01-2011,Spring,2011,January,1,FALSE,Wednesday,"Clear, Partly cloudy",0.16
95,05-01-2011,Spring,2011,January,2,FALSE,Wednesday,"Clear, Partly cloudy",0.16
96,05-01-2011,Spring,2011,January,4,FALSE,Wednesday,"Clear, Partly cloudy",0.24
97,05-01-2011,Spring,2011,January,5,FALSE,Wednesday,"Clear, Partly cloudy",0.22
98,05-01-2011,Spring,2011,January,6,FALSE,Wednesday,"Clear, Partly cloudy",0.2
99,05-01-2011,Spring,2011,January,7,FALSE,Wednesday,"Clear, Partly cloudy",0.18
100,05-01-2011,Spring,2011,January,8,FALSE,Wednesday,"Clear, Partly cloudy",0.2
101,05-01-2011,Spring,2011,January,9,FALSE,Wednesday,"Clear, Partly cloudy",0.22
102,05-01-2011,Spring,2011,January,10,FALSE,Wednesday,"Clear, Partly cloudy",0.22
103,05-01-2011,Spring,2011,January,11,FALSE,Wednesday,"Clear, Partly cloudy",0.26
104,05-01-2011,Spring,2011,January,12,FALSE,Wednesday,"Clear, Partly cloudy",0.26
105,05-01-2011,Spring,2011,January,13,FALSE,Wednesday,"Clear, Partly cloudy",0.28
106,05-01-2011,Spring,2011,January,14,FALSE,Wednesday,"Clear, Partly cloudy",0.3
107,05-01-2011,Spring,2011,January,15,FALSE,Wednesday,"Clear, Partly cloudy",0.3
108,05-01-2011,Spring,2011,January,16,FALSE,Wednesday,"Clear, Partly cloudy",0.3
109,05-01-2011,Spring,2011,January,17,FALSE,Wednesday,"Clear, Partly cloudy",0.24
110,05-01-2011,Spring,2011,January,18,FALSE,Wednesday,"Clear, Partly cloudy",0.24
111,05-01-2011,Spring,2011,January,19,FALSE,Wednesday,"Clear, Partly cloudy",0.24
112,05-01-2011,Spring,2011,January,20,FALSE,Wednesday,"Clear, Partly cloudy",0.22
113,05-01-2011,Spring,2011,January,21,FALSE,Wednesday,"Clear, Partly cloudy",0.2
114,05-01-2011,Spring,2011,January,22,FALSE,Wednesday,"Clear, Partly cloudy",0.18
115,05-01-2011,Spring,2011,January,23,FALSE,Wednesday,"Clear, Partly cloudy",0.2
116,06-01-2011,Spring,2011,January,0,FALSE,Thursday,"Clear, Partly cloudy",0.18
117,06-01-2011,Spring,2011,January,1,FALSE,Thursday,"Clear, Partly cloudy",0.16
118,06-01-2011,Spring,2011,January,2,FALSE,Thursday,"Clear, Partly cloudy",0.16
119,06-01-2011,Spring,2011,January,4,FALSE,Thursday,"Misty, Cloudy",0.16
120,06-01-2011,Spring,2011,January,5,FALSE,Thursday,"Misty, Cloudy",0.14
121,06-01-2011,Spring,2011,January,6,FALSE,Thursday,"Misty, Cloudy",0.14
122,06-01-2011,Spring,2011,January,7,FALSE,Thursday,"Misty, Cloudy",0.16
123,06-01-2011,Spring,2011,January,8,FALSE,Thursday,"Clear, Partly cloudy",0.16
124,06-01-2011,Spring,2011,January,9,FALSE,Thursday,"Misty, Cloudy",0.18
125,06-01-2011,Spring,2011,January,10,FALSE,Thursday,"Clear, Partly cloudy",0.2
126,06-01-2011,Spring,2011,January,11,FALSE,Thursday,"Clear, Partly cloudy",0.22
127,06-01-2011,Spring,2011,January,12,FALSE,Thursday,"Clear, Partly cloudy",0.26
128,06-01-2011,Spring,2011,January,13,FALSE,Thursday,"Clear, Partly cloudy",0.26
129,06-01-2011,Spring,2011,January,14,FALSE,Thursday,"Clear, Partly cloudy",0.28
130,06-01-2011,Spring,2011,January,15,FALSE,Thursday,"Clear, Partly cloudy",0.28
131,06-01-2011,Spring,2011,January,16,FALSE,Thursday,"Clear, Partly cloudy",0.26
132,06-01-2011,Spring,2011,January,17,FALSE,Thursday,"Clear, Partly cloudy",0.22
133,06-01-2011,Spring,2011,January,18,FALSE,Thursday,"Clear, Partly cloudy",0.22
134,06-01-2011,Spring,2011,January,19,FALSE,Thursday,"Clear, Partly cloudy",0.22
135,06-01-2011,Spring,2011,January,20,FALSE,Thursday,"Clear, Partly cloudy",0.2
136,06-01-2011,Spring,2011,January,21,FALSE,Thursday,"Misty, Cloudy",0.22
137,06-01-2011,Spring,2011,January,22,FALSE,Thursday,"Misty, Cloudy",0.22
138,06-01-2011,Spring,2011,January,23,FALSE,Thursday,"Misty, Cloudy",0.2
139,07-01-2011,Spring,2011,January,0,FALSE,Friday,"Misty, Cloudy",0.2
140,07-01-2011,Spring,2011,January,1,FALSE,Friday,"Misty, Cloudy",0.2
141,07-01-2011,Spring,2011,January,2,FALSE,Friday,"Misty, Cloudy",0.2
142,07-01-2011,Spring,2011,January,4,FALSE,Friday,"Misty, Cloudy",0.2
143,07-01-2011,Spring,2011,January,5,FALSE,Friday,"Light Rain,Thunderstorm",0.22
144,07-01-2011,Spring,2011,January,6,FALSE,Friday,"Misty, Cloudy",0.2
145,07-01-2011,Spring,2011,January,7,FALSE,Friday,"Clear, Partly cloudy",0.2
146,07-01-2011,Spring,2011,January,8,FALSE,Friday,"Clear, Partly cloudy",0.2
147,07-01-2011,Spring,2011,January,9,FALSE,Friday,"Clear, Partly cloudy",0.2
148,07-01-2011,Spring,2011,January,10,FALSE,Friday,"Clear, Partly cloudy",0.22
149,07-01-2011,Spring,2011,January,11,FALSE,Friday,"Misty, Cloudy",0.2
150,07-01-2011,Spring,2011,January,12,FALSE,Friday,"Misty, Cloudy",0.2
151,07-01-2011,Spring,2011,January,13,FALSE,Friday,"Misty, Cloudy",0.2
152,07-01-2011,Spring,2011,January,14,FALSE,Friday,"Misty, Cloudy",0.2
153,07-01-2011,Spring,2011,January,15,FALSE,Friday,"Misty, Cloudy",0.2
154,07-01-2011,Spring,2011,January,16,FALSE,Friday,"Misty, Cloudy",0.2
155,07-01-2011,Spring,2011,January,17,FALSE,Friday,"Misty, Cloudy",0.2
156,07-01-2011,Spring,2011,January,18,FALSE,Friday,"Clear, Partly cloudy",0.2
157,07-01-2011,Spring,2011,January,19,FALSE,Friday,"Clear, Partly cloudy",0.16
158,07-01-2011,Spring,2011,January,20,FALSE,Friday,"Clear, Partly cloudy",0.18
159,07-01-2011,Spring,2011,January,21,FALSE,Friday,"Clear, Partly cloudy",0.18
160,07-01-2011,Spring,2011,January,22,FALSE,Friday,"Misty, Cloudy",0.18
161,07-01-2011,Spring,2011,January,23,FALSE,Friday,"Misty, Cloudy",0.18
162,08-01-2011,Spring,2011,January,0,TRUE,Saturday,"Misty, Cloudy",0.18
163,08-01-2011,Spring,2011,January,1,TRUE,Saturday,"Misty, Cloudy",0.18
164,08-01-2011,Spring,2011,January,2,TRUE,Saturday,"Misty, Cloudy",0.18
165,08-01-2011,Spring,2011,January,3,TRUE,Saturday,"Light Rain,Thunderstorm",0.18
166,08-01-2011,Spring,2011,January,4,TRUE,Saturday,"Light Rain,Thunderstorm",0.18
167,08-01-2011,Spring,2011,January,5,TRUE,Saturday,"Misty, Cloudy",0.16
168,08-01-2011,Spring,2011,January,6,TRUE,Saturday,"Misty, Cloudy",0.16
169,08-01-2011,Spring,2011,January,7,TRUE,Saturday,"Misty, Cloudy",0.16
170,08-01-2011,Spring,2011,January,8,TRUE,Saturday,"Light Rain,Thunderstorm",0.16
171,08-01-2011,Spring,2011,January,9,TRUE,Saturday,"Light Rain,Thunderstorm",0.16
172,08-01-2011,Spring,2011,January,10,TRUE,Saturday,"Misty, Cloudy",0.18
173,08-01-2011,Spring,2011,January,11,TRUE,Saturday,"Misty, Cloudy",0.2
174,08-01-2011,Spring,2011,January,12,TRUE,Saturday,"Misty, Cloudy",0.2
175,08-01-2011,Spring,2011,January,13,TRUE,Saturday,"Clear, Partly cloudy",0.2
176,08-01-2011,Spring,2011,January,14,TRUE,Saturday,"Clear, Partly cloudy",0.2
177,08-01-2011,Spring,2011,January,15,TRUE,Saturday,"Clear, Partly cloudy",0.2
178,08-01-2011,Spring,2011,January,16,TRUE,Saturday,"Clear, Partly cloudy",0.18
179,08-01-2011,Spring,2011,January,17,TRUE,Saturday,"Clear, Partly cloudy",0.16
180,08-01-2011,Spring,2011,January,18,TRUE,Saturday,"Clear, Partly cloudy",0.14
181,08-01-2011,Spring,2011,January,19,TRUE,Saturday,"Clear, Partly cloudy",0.14
182,08-01-2011,Spring,2011,January,20,TRUE,Saturday,"Clear, Partly cloudy",0.12
183,08-01-2011,Spring,2011,January,21,TRUE,Saturday,"Clear, Partly cloudy",0.12
184,08-01-2011,Spring,2011,January,22,TRUE,Saturday,"Clear, Partly cloudy",0.12
185,08-01-2011,Spring,2011,January,23,TRUE,Saturday,"Clear, Partly cloudy",0.1
186,09-01-2011,Spring,2011,January,0,TRUE,Sunday,"Clear, Partly cloudy",0.1
187,09-01-2011,Spring,2011,January,1,TRUE,Sunday,"Clear, Partly cloudy",0.1
188,09-01-2011,Spring,2011,January,2,TRUE,Sunday,"Clear, Partly cloudy",0.1
189,09-01-2011,Spring,2011,January,3,TRUE,Sunday,"Clear, Partly cloudy",0.1
190,09-01-2011,Spring,2011,January,4,TRUE,Sunday,"Clear, Partly cloudy",0.08
191,09-01-2011,Spring,2011,January,5,TRUE,Sunday,"Clear, Partly cloudy",0.08
192,09-01-2011,Spring,2011,January,6,TRUE,Sunday,"Clear, Partly cloudy",0.1
193,09-01-2011,Spring,2011,January,7,TRUE,Sunday,"Clear, Partly cloudy",0.08
194,09-01-2011,Spring,2011,January,8,TRUE,Sunday,"Clear, Partly cloudy",0.1
195,09-01-2011,Spring,2011,January,9,TRUE,Sunday,"Clear, Partly cloudy",0.12
196,09-01-2011,Spring,2011,January,10,TRUE,Sunday,"Clear, Partly cloudy",0.14
197,09-01-2011,Spring,2011,January,11,TRUE,Sunday,"Clear, Partly cloudy",0.16
198,09-01-2011,Spring,2011,January,12,TRUE,Sunday,"Clear, Partly cloudy",0.18
199,09-01-2011,Spring,2011,January,13,TRUE,Sunday,"Clear, Partly cloudy",0.2
200,09-01-2011,Spring,2011,January,14,TRUE,Sunday,"Clear, Partly cloudy",0.22
201,09-01-2011,Spring,2011,January,15,TRUE,Sunday,"Clear, Partly cloudy",0.22
202,09-01-2011,Spring,2011,January,16,TRUE,Sunday,"Clear, Partly cloudy",0.2
203,09-01-2011,Spring,2011,January,17,TRUE,Sunday,"Clear, Partly cloudy",0.18
